Province,Ho Chi Minh,Ha Noi,Hai Phong ,Can Tho,Dong Nai,Quang Nam ,Bac Ninh,Hai Duong,Nghe An,Hue,Thanh Hoa,Khanh Hoa ,Nam Dinh,Dak Lak,Thai Nguyen,Vung Tau,Ca Mau,Binh Dinh,Soc Trang,An Giang,Phu Tho,Thai Binh,Quang Ngai,Lam Dong,Binh Duong,Phu Yen,Bac Lieu,Dong Thap,Binh Thuan,Ninh Thuan,Quang Ninh,Ha Tinh,Quang Binh,Lang Son,Gia Lai,Long An,Tra Vinh,Ninh Binh,Tay Ninh,Tien Giang,Haa Binh,Kon Tum,Vinh Long,Hau Giang,Yen Bai,Quang Tri,Lao Cai,Ben Tre,Bac Giang,Cao Bang,Binh Phuoc,Ha Giang,Tuyen Quang,Bac Kan,Son La,Ha Nam,Hung Yen,Kien Giang,Lai Chau,Da Nang,Dak Nong,Dien Bien,Vinh Phuc,Latitude,Longitude
Phu Tho,1180.996234,22.61457051,143.8644969,1255.393123,1165.864732,679.2776032,72.06861549,105.6538482,295.3214752,586.840473,172.174716,1118.854389,127.8432881,1002.31413,56.88880824,1227.709731,1349.505592,932.4046048,1304.364107,1180.921736,0,137.8643788,776.6552095,1092.22922,1167.099217,1004.930858,1338.572133,1207.479127,1191.185555,1150.000687,197.7289816,334.7069108,444.4049014,152.9973695,862.5087924,1204.04694,1269.46635,132.4195243,1114.864539,1223.740477,55.49959875,818.0019295,1231.609046,1282.539164,69.51799414,532.1580624,189.7470972,1236.977057,83.03144016,175.0637053,1082.47397,173.1876724,60.15169495,103.8226088,153.422802,98.01010823,82.46692028,1272.20798,244.9715144,655.4570018,1033.712805,242.8004652,16.67574419,21.3136,105.3947
Thai Binh,1077.443119,116.2111343,51.87195959,1159.760836,1060.222563,549.9398478,86.82859534,54.93787566,208.6240821,462.1265137,92.39648602,994.8117331,18.35684179,884.2148172,138.1471559,1120.233337,1259.276433,803.550213,1207.063205,1091.957044,137.8643788,0,646.6494157,972.7976592,1062.353175,877.3123776,1243.449062,1113.309345,1075.321136,1027.544054,115.316478,238.3545815,330.6653126,161.7618183,741.7398966,1102.741408,1168.936569,43.8576276,1016.201756,1122.98783,112.4480602,696.4130786,1134.235082,1189.694039,207.1320172,412.5409437,327.4552858,1135.976568,93.25586751,247.8923619,978.73133,299.4051562,193.1056253,196.7530886,270.680453,46.26933594,56.47831469,1188.636585,379.7193348,526.4955308,920.0017718,368.0164588,131.0456319,20.4461,106.3422
Quang Ngai,537.6457572,754.0597889,670.516807,653.3104796,510.8430252,97.55685941,733.1223175,697.6123122,514.7437513,197.109113,611.6304101,358.6561318,651.632692,284.4664716,784.6950181,554.2990247,769.9499426,157.5418251,686.2065975,632.8287746,776.6552095,646.6494157,0,357.1203779,517.7691604,232.9657977,730.2407398,621.326058,470.3264397,396.1371258,674.4061623,472.2043586,351.890948,778.3882108,152.7854713,572.2829786,634.9985341,644.2536481,514.3340607,593.0677614,731.4298372,119.5270971,621.5040607,694.6008873,840.7990407,261.2223944,955.9560884,603.1605336,737.2653552,881.5533477,453.0321349,945.6295941,835.9290561,841.6539775,861.2876459,679.2732949,701.851122,743.8317203,991.2320319,121.5916271,342.3975946,954.8801511,774.0298123,15.1206,108.7922
Lam Dong,233.1656422,1070.185931,1004.108399,356.9448312,202.6448568,439.1586404,1059.319354,1026.547057,805.0111884,512.0997918,920.6044548,78.04299299,974.3836587,91.23723388,1109.726651,219.7158935,470.3096343,222.6931265,372.477964,385.3923726,1092.22922,972.7976592,357.1203779,0,213.2626996,160.8043213,417.1628544,345.2555675,114.0658563,74.11048964,1017.222961,762.5966529,647.9141482,1117.162075,231.2427099,269.3515307,317.34446,961.9109523,262.3098004,286.2369386,1041.677782,276.9592783,325.4646838,401.0153101,1150.45394,560.8548591,1257.572791,291.6407266,1065.840288,1216.844746,200.5990423,1265.131532,1152.38023,1169.467347,1149.939812,998.6502704,1024.921813,483.6989309,1281.293442,459.3144228,95.63880873,1234.873625,1092.584302,11.9304,108.42
Binh Duong,20.66979308,1146.311969,1100.794648,144.8277438,11.25921111,578.5474638,1146.066378,1117.277687,871.8837415,624.7716781,996.025543,281.6526924,1060.414911,240.6919298,1193.741616,68.98489217,260.8152922,416.2227065,169.1890046,181.8280232,1167.099217,1062.353175,517.7691604,213.2626996,0,367.9156931,213.8781084,133.4896216,151.8990755,253.1641917,1125.325073,832.6380508,732.0492008,1217.288647,367.0948738,57.35221646,117.2556357,1043.4535,86.28350997,76.70060414,1113.225631,408.9209307,112.781911,188.8914826,1217.817444,657.3685422,1314.364535,85.62846046,1154.984575,1310.242158,85.02894585,1339.266522,1226.295607,1254.967668,1198.661496,1080.444425,1109.492197,271.8137448,1327.130492,593.5081268,176.985358,1273.595039,1170.390595,10.9039,106.7679
Phu Yen,388.4239578,982.4170529,902.7199146,512.7418418,358.0082045,327.7256353,964.0302974,929.0240768,731.8788717,418.5659254,837.0061437,131.8311231,881.4608146,144.2543691,1015.459439,380.4126757,628.0259363,76.39454429,531.7844245,527.8425258,1004.930858,877.3123776,232.9657977,160.8043213,367.9156931,0,576.6642411,495.4802626,269.8470469,172.8913105,907.3688086,688.7964205,568.8054246,1011.266153,171.0564709,425.1121911,476.8031482,872.6202371,401.0973483,443.2613751,957.8861806,203.2574521,480.653199,556.8043985,1067.506328,477.3693234,1180.446855,449.7440044,968.6879392,1114.200235,334.8545019,1175.416221,1064.641776,1073.11416,1080.662518,908.2844869,931.9286037,632.26126,1211.747508,350.9033999,205.7898881,1171.334858,1003.139216,13.0869,109.3086
Bac Lieu,193.4550416,1318.813458,1285.042269,83.74141297,222.1496992,786.4867498,1324.506345,1298.231072,1044.451473,824.0845505,1170.622597,474.760189,1239.680835,454.4475044,1370.058677,199.8308034,63.20365646,629.0123412,44.99974364,170.7362345,1338.572133,1243.449062,730.2407398,417.1628544,213.8781084,576.6642411,0,131.2376415,324.5474896,438.7062367,1314.903787,1007.92651,917.0691794,1401.970417,578.4197111,158.0244504,99.87163127,1220.573048,229.5640123,137.4598603,1283.590901,618.6301116,111.7374285,61.81094805,1384.094982,849.8239072,1472.631156,128.4730755,1334.604921,1490.430412,280.4561184,1508.077399,1396.383688,1431.374944,1353.443637,1257.116443,1287.250551,150.5856098,1477.93693,799.9301054,390.8293891,1420.352919,1343.50958,9.2833,105.7167
Dong Thap,115.5178959,1187.779882,1155.382185,50.26001351,144.6482858,669.7083062,1193.967931,1168.028326,913.5527301,700.4988114,1039.801035,415.078892,1109.296282,359.9806303,1239.283065,165.1452884,151.5876573,537.193151,102.6343016,62.44090403,1207.479127,1113.309345,621.326058,345.2555675,133.4896216,495.4802626,131.2376415,0,281.0509557,386.3835432,1186.388411,877.2936688,788.0978339,1272.293166,468.5486213,84.71245497,96.93555784,1089.955733,107.5060619,79.38311052,1152.463185,505.5676063,43.85665212,77.37123639,1252.859716,723.1368177,1341.586687,85.8830503,1204.200426,1360.011277,169.3040786,1376.8668,1265.221852,1300.581727,1222.558611,1126.431341,1156.659122,138.5251592,1347.416056,681.5146578,294.5175306,1290.199586,1212.504411,10.4603,105.6331
Binh Thuan,166.5915308,1169.423935,1108.516215,278.5467477,140.9082946,549.8212865,1161.397852,1129.548591,900.3202456,617.7272577,1019.065992,152.2192952,1075.991548,192.6997042,1211.236864,125.962132,382.8975424,335.8950979,281.7671393,333.3501294,1191.185555,1075.321136,470.3264397,114.0658563,151.8990755,269.8470469,324.5474896,281.0509557,0,114.3032367,1124.277627,858.5944166,747.2003701,1222.683238,337.8314381,196.9227735,227.8161177,1062.262373,228.8898912,208.1963409,1139.511301,383.8013948,250.4542653,320.8539393,1247.429035,662.8023613,1351.665163,209.2821474,1168.556828,1320.99936,187.5583783,1364.362794,1251.250886,1271.527806,1241.13071,1099.20802,1126.317675,416.3654938,1371.956377,569.1724697,159.2565334,1323.020341,1192.36267,10.9375,108.1583
Ninh Thuan,270.943467,1127.764108,1056.724931,389.4077965,241.9266196,484.9824082,1114.316112,1080.669108,866.2290065,565.4377519,979.1621824,42.07560871,1030.035143,159.5447552,1165.178353,239.4129576,496.4864501,246.706096,395.6252196,433.3579298,1150.000687,1027.544054,396.1371258,74.11048964,253.1641917,172.8913105,438.7062367,386.3835432,114.3032367,0,1066.383806,823.4785985,706.7724714,1168.177966,287.8385064,304.591772,341.2645414,1018.76064,316.5539899,318.2199493,1100.455759,331.9990153,359.8849106,432.5275747,1209.689681,617.8461224,1318.676388,320.7612694,1120.174655,1269.326066,260.4255627,1322.383122,1210.113798,1224.269532,1212.983533,1055.226485,1080.658719,524.0680491,1344.459875,506.6021579,169.0734991,1299.445317,1149.655067,11.5643,108.9886
